Time      encoder Position      Calculated Position
0    0     0.0103352
0    0     0.02325
0    0     0.0413293
0    0     0.0645653
0    0     0.0929516
-0.001    -414.841     0.126486
-0.001    -414.841     0.165155
-0.001    -414.841     0.208951
-0.001    -414.828     0.257863
-0.001    -414.828     0.31188
-0.001    -1.05558     0.370986
-0.001    -2.85257     0.435167
-0.001    -2.85257     0.504413
-0.001    -2.85257     0.578698
-0.001    -2.85257     0.65801
-0.001    -2.85257     0.742325
-0.001    -2.85257     0.831631
-0.001    -2.85257     0.925894
-0.001    -2.85257     1.0251
-0.001    -2.85257     1.12921
-0.001    -2.85257     1.23822
-0.001    -2.85257     1.35209
-0.001    -2.85257     1.4708
-0.001    -2.85257     1.59431
-0.001    -3.15416     1.72259
-0.001    -3.15416     1.85562
-0.001    -3.15416     1.99335
-0.001    -3.04106     2.13577
-0.001    -3.04106     2.28282
-0.001    -3.04106     2.43448
-0.001    -619.133     2.5907
-0.001    -414.942     2.75145
-0.001    -414.942     2.91669
-0.001    -1.21894     3.08638
-0.001    -1.21894     3.26048
-0.001    -1.21894     3.43894
-0.001    -1.21894     3.62171
-0.001    -1.21894     3.80877
-0.001    -1.21894     4.00004
-0.001    -1.21894     4.19551
-0.001    -1.21894     4.3951
-0.001    -1.21894     4.59878
-0.001    -1.21894     4.80649
-0.001    -1.21894     5.01818
-0.001    -1.21894     5.2338
-0.001    -413.295     5.4533
-0.001    -413.295     5.67662
-0.001    -2.84     5.90371
-0.001    -414.841     6.1345
-0.001    -414.841     6.36896
-0.001    -3.12903     6.60701
-0.001    -3.12903     6.8486
-0.001    -3.12903     7.09367
-0.001    -3.12903     7.34215
-0.001    -3.12903     7.59399
-0.001    -3.12903     7.84912
-0.001    -3.12903     8.10748
-0.001    -3.12903     8.36901
-0.001    -3.12903     8.63364
-0.001    -3.12903     8.90131
-0.001    -3.12903     9.17195
-0.001    -3.12903     9.44549
-0.001    -3.12903     9.72189
-0.001    -3.12903     10.001
-0.001    -414.929     10.2829
-0.001    -2.97823     10.5674
-0.001    -2.97823     10.8544
-0.001    -413.207     11.144
-0.001    -414.64     11.4359
-0.001    -414.64     11.7302
-0.001    -2.92796     12.0268
-0.001    -0.728849     12.3255
-0.001    -0.728849     12.6264
-0.001    -0.728849     12.9294
-0.001    -0.728849     13.2343
-0.001    -0.728849     13.5412
-0.001    -0.728849     13.8498
-0.001    -0.728849     14.1602
-0.001    -0.728849     14.4723
-0.001    -0.728849     14.786
-0.001    -0.728849     15.1012
-0.001    -0.728849     15.4178
-0.001    -0.728849     15.7358
-0.001    -0.728849     16.0551
-0.001    -0.728849     16.3756
-0.001    -1.48283     16.6972
-0.001    -1.48283     17.0198
-0.001    -1.48283     17.3435
-0.001    -0.515221     17.668
-0.001    -2.90283     17.9933
-0.001    -2.90283     18.3194
-0.001    -414.741     18.6461
-0.001    -413.358     18.9734
-0.001    -413.358     19.3011
-0.001    -413.358     19.6293
-0.001    -413.358     19.9578
-0.001    -413.358     20.2865
-0.001    -413.358     20.6154
-0.001    -413.358     20.9444
-0.001    -413.358     21.2734
-0.001    -413.358     21.6023
-0.001    -413.358     21.931
-0.001    -3.10389     22.2595
-0.001    -3.10389     22.5877
-0.001    -3.10389     22.9154
-0.001    -0.967611     23.2427
-0.001    -414.979     23.5694
-0.001    -414.979     23.8955
-0.001    -1.25664     24.2208
-0.001    -2.6892     24.5453
-0.001    -2.6892     24.869
-0.001    -2.6892     25.1916
-0.001    -2.6892     25.5132
-0.001    -2.6892     25.8337
-0.001    -2.6892     26.153
-0.001    -2.6892     26.471
-0.001    -2.6892     26.7876
-0.001    -2.6892     27.1028
-0.001    -2.6892     27.4165
-0.001    -2.6892     27.7286
-0.001    -2.6892     28.039
-0.001    -2.6892     28.3476
-0.001    -2.6892     28.6545
-0.001    -2.6892     28.9594
-0.001    -2.6892     29.2623
-0.001    -2.6892     29.5632
-0.001    -413.119     29.862
-0.001    -413.119     30.1585
-0.001    -413.119     30.4528
-0.001    -2.08602     30.7448
-0.001    -1.50796     31.0343
-0.001    -1.50796     31.3213
